batch_size,weight_decay,hidden_layers,lr,mean_auc,std_auc
250,0.001,3,0.0001,0.6462772637365145,0.005907148251059852
250,0.001,3,0.0002,0.6550169579221935,0.004315878083258335
250,0.001,3,0.0005,0.66846571216492,0.007576078901230193
250,0.001,3,0.001,0.6740958310954597,0.008219252088452872
500,0.0001,1,0.0001,0.6370125422781644,0.009724901208172673
500,0.0001,1,0.0002,0.6464007058598757,0.00787094725783537
500,0.0001,1,0.0005,0.6606230709991818,0.008680318346607789
500,0.0001,1,0.001,0.6670682339246043,0.007631933454148644
500,0.0001,2,0.0001,0.6479673731472455,0.008298200935878634
500,0.0001,2,0.0002,0.659840714307004,0.009298380150497885
500,0.0001,2,0.0005,0.6697208951981793,0.010835273857515565
500,0.0001,2,0.001,0.6718754865485563,0.008891769951696618
500,0.0001,3,0.0001,0.6557622964373062,0.008814117609051837
500,0.0001,3,0.0002,0.6685519381570268,0.010321174803015596
500,0.0001,3,0.0005,0.6654068749684307,0.01002836545846991
500,0.0001,3,0.001,0.6683368387674302,0.01013231089244933
500,0.0002,1,0.0001,0.6377972978162727,0.008233941211783028
500,0.0002,1,0.0002,0.6468842798039689,0.008340828710925691
500,0.0002,1,0.0005,0.6585630445975067,0.00852369021886417
500,0.0002,1,0.001,0.668163919258912,0.008404949590063182
500,0.0002,2,0.0001,0.6474149634408637,0.008002010828801458
500,0.0002,2,0.0002,0.6591303950978417,0.009772482438256173
500,0.0002,2,0.0005,0.675067268700433,0.010084358893027619
500,0.0002,2,0.001,0.6802570711865114,0.013157744860887851
500,0.0002,3,0.0001,0.6557317783934401,0.007602283627009672
500,0.0002,3,0.0002,0.670532255190467,0.007394372693025342
500,0.0002,3,0.0005,0.6789281976868425,0.012515492671263147
500,0.0002,3,0.001,0.6803467962882791,0.011549103862948685
500,0.0003,1,0.0001,0.6379150092746577,0.0075335580139914435
500,0.0003,1,0.0002,0.6481637488079733,0.007595149763681254
500,0.0003,1,0.0005,0.6601088433053917,0.007957515367322584
500,0.0003,1,0.001,0.6681393237989897,0.007899228860448866
500,0.0003,2,0.0001,0.6472200257183349,0.007538160386656951
500,0.0003,2,0.0002,0.6603160642832488,0.00842360360185907
500,0.0003,2,0.0005,0.6760168984123758,0.011057467767287067
500,0.0003,2,0.001,0.6797534615666752,0.011016394126316217
500,0.0003,3,0.0001,0.654811209502123,0.008635922395437602
500,0.0003,3,0.0002,0.6710518746999263,0.011548584920914647
500,0.0003,3,0.0005,0.6816005768812285,0.011569536041929734
500,0.0003,3,0.001,0.6850068684706688,0.009470227096848307
500,0.0004,1,0.0001,0.6376506940520316,0.008009935582010795
500,0.0004,1,0.0002,0.6458459241146197,0.009071478006333676
500,0.0004,1,0.0005,0.6569460645127789,0.007666317114375305
500,0.0004,1,0.001,0.6610397508112145,0.006410235366188162
500,0.0004,2,0.0001,0.6467411251479283,0.006459427184651683
500,0.0004,2,0.0002,0.6586536427264629,0.007739474349364269
500,0.0004,2,0.0005,0.6759047283424138,0.008742593514315607
500,0.0004,2,0.001,0.6822630279334373,0.010007611313525965
500,0.0004,3,0.0001,0.6537262944857869,0.009156643895766727
500,0.0004,3,0.0002,0.670283373455223,0.010618641581231079
500,0.0004,3,0.0005,0.6821103999211647,0.01193006606994707
500,0.0004,3,0.001,0.6869335185801688,0.011732679572526385
500,0.001,1,0.0001,0.6306510619090094,0.007398181508989908
500,0.001,1,0.0002,0.6390483401948879,0.005356068476056119
500,0.001,1,0.0005,0.6424860472354131,0.0028656342701149228
500,0.001,1,0.001,0.6402935760701194,0.0048171725615096025
500,0.001,2,0.0001,0.6376829490832894,0.006142533692812888
500,0.001,2,0.0002,0.6470585216331944,0.00413264822660887
500,0.001,2,0.0005,0.6538937077898229,0.003790468779067119
500,0.001,2,0.001,0.6554720565539409,0.0042233596756172855
500,0.001,3,0.0001,0.6470699081046797,0.006136550740434432
500,0.001,3,0.0002,0.6561865584051136,0.006020318150746006
500,0.001,3,0.0005,0.6707606973022363,0.006988162444339974
500,0.001,3,0.001,0.6755053488523688,0.0059734925502351885
