Site,Observed,Predicted
1230,16,15.991095663680579
1231,24,16.469904319055306
1232,14,16.675428915367807
1233,9,16.432234233871245
1234,31,17.10646944780669
1235,14,16.915246184494624
1236,2,16.909515705879897
1237,25,17.007905135570766
1238,18,16.96058143429614
1239,7,17.395508787055526
1240,30,17.567346130883625
1241,16,17.467411458810314
1242,3,16.664450449245766
1243,29,16.20155645132601
1260,3,17.824411720977185
1261,20,17.466305161859413
1262,11,17.465875850365048
1263,10,17.504911857877097
1264,26,17.612380123067403
1269,14,17.602625573904255
1270,20,17.509461185359708
1271,9,17.41046609705297
1272,9,17.386253994368303
1273,18,17.418214910809
1280,19,15.729430698043497
1281,19,15.908632573317083
1282,12,16.62494824397145
1283,19,16.099407025554747
1284,15,16.502579984427392
1290,3,17.226135348123638
1291,19,16.61799270378932
1292,12,16.57694577483846
1293,11,16.63855779587745
1294,24,16.799373379515853
1295,2,16.424859649712044
1302,13,17.826875829870094
1303,4,17.513222962354458
1304,26,17.60075568345023
1305,11,17.922060606242802
1306,14,17.400214413838068
1317,11,15.293364849140355
1318,15,15.183176027044565
1319,13,15.252449753966486
1320,16,15.90943116776709
1321,7,15.269062911689671
1322,24,18.819077261245624
1339,4,18.038383464488373
1340,21,17.86059761831981
1341,14,17.734018637997345
1342,19,17.86090793297464
1343,3,18.796075771490692
1344,6,18.891185489739357
1348,9,19.004327010478825
1349,2,19.164623426707653
1350,35,18.939826038485364
1351,16,18.972733167651615
1352,20,15.459197110309677
1356,22,17.715350722041023
1357,9,17.380969979442753
1358,10,17.575134937743545
1359,16,17.570263086179516
1360,4,16.987553798768797
1361,16,17.36365889952034
1389,13,17.508845598039635
1390,8,17.670534450791724
1391,6,17.924377042105927
1392,23,18.1283411387347
1393,21,17.83599447967525
1394,9,16.834256555446935
1401,6,18.85015687425235
1402,11,18.441883638802334
1403,7,18.62136744236215
1404,19,18.45664666445831
1405,27,18.723994162107655
1406,4,19.572632394962785
1413,7,18.41358143014815
1414,15,18.172994426648135
1415,8,18.134145061293204
1416,28,18.092563233606057
1428,20,21.831695654662685
1429,7,21.79672290187274
1430,16,21.500048190035116
1431,19,22.2515076195179
1432,23,21.911186805838344
1433,18,21.25869214777545
1434,7,22.442197496087957
1435,14,21.88637210295285
1436,21,16.253283523742418
1437,11,16.60287447977118
1438,16,16.451713016244227
1439,5,16.427177210385782
1440,25,20.547728703102347
1441,20,19.88804976228475
1442,9,20.38141108944868
1448,10,21.274985817199436
1449,19,21.380219270312182
1450,21,21.568622127341378
1451,8,21.4643549014767
1461,12,22.221229561749773
1462,19,22.00895315630396
1463,10,22.443143465420523
1464,28,21.90062061427859
1465,14,24.843369433390603
1486,10,23.36209265924986
1487,3,23.333043785367224
1488,19,23.475403278714563
1489,10,23.670828377616782
1490,10,23.415578847403207
1491,25,23.4801267955401
1492,10,22.918266399038245
1493,4,23.312825098590235
1494,28,23.445907849114963
1495,11,26.04658423589654
1496,21,25.932727165523428
1497,29,24.16906067246102
1501,18,25.482352928212485
1502,14,25.692058280201348
1503,18,25.4402307861169
1504,16,25.992260822889882
1505,8,23.352995072526596
