X,Y
28.630999140234724,61.640449803792876
28.631815436168818,61.64272773746423
28.628696980901605,61.64235608017704
22.022240867241845,61.78890886498415
22.00948904366454,61.79569896169738
22.015049434302522,61.79482862730054
22.021940784788747,61.787822172304935
22.00753411884954,61.794643059372916
22.015489289951475,61.797339024312656
22.49575339957379,61.80224239393464
22.48365002710015,61.79608808354833
22.487623688266943,61.79845725826472
23.427710949712342,61.827704369503515
23.414829241926316,61.82530788985784
23.417813020064852,61.827036880787084
23.4168016974829,61.82356928968926
23.41908270813665,61.82808468282899
25.790801020005237,61.86789785176973
25.79463833250637,61.86833065443376
25.797283048079546,61.877525915956014
25.785142910634075,61.868177318172
27.676042901481473,61.85912983883692
27.67885220734438,61.86018631563333
27.671499896278995,61.856997573959354
27.677081132782405,61.86239543221532
27.69468967192375,61.85725460028122
27.67898205686689,61.8597478910042
28.66132918672294,61.86604009811151
28.649984672311806,61.86589519760452
28.659869484515202,61.86789772964914
28.659372740389927,61.86193895810452
28.66638836834994,61.85574375658592
28.65844237341069,61.86548249712308
30.064529780158004,61.84230706856449
30.05528629354495,61.84596920387691
30.05093452776121,61.84136920578152
30.05715504789883,61.833090326373735
30.048027223535875,61.835551676328706
30.053015455141395,61.845069610076536
25.330153859176132,62.087988043814015
25.320430118598004,62.0888582853403
25.325697945814838,62.084313898522524
25.319614009515885,62.08886284403644
25.3199956716348,62.083367434017475
26.275033527101414,62.094283091601206
26.278293718126896,62.09522529804164
26.28830276889012,62.09388783497599
26.27624851600644,62.10116978662002
26.277755681680013,62.09652767937261
27.713704543839505,62.096672175558375
27.70828900690479,62.09648020751195
27.71930283021104,62.095408583792725
27.71637529409515,62.09735391870188
27.727875713020605,62.08769766041154
27.719423771176977,62.09364387612991
28.19634907240449,62.082837672301736
28.19875123006569,62.08682381097956
28.202609218868517,62.090205194022424
28.199265619185784,62.07870057461811
28.1907802699736,62.08681584962355
25.309348498610106,62.32350220932034
25.299749148621398,62.31216446106201
25.304765782630994,62.320688121388024
25.31496666435836,62.318508171735836
25.30247927547622,62.31617652226074
26.747542765787625,62.32105769543334
26.745840171838893,62.31850220592099
26.7572510154788,62.32527884232648
26.755639895482076,62.32042598252538
26.76012224667389,62.3248842138999
26.75399444588602,62.31726991639605
27.23671249190002,62.32105561078837
27.232410843570033,62.31174929000833
27.234284148748543,62.314150341552164
27.235095410740684,62.31427774829369
27.239480924659567,62.30458611523737
27.239699904612074,62.3123444519198
27.719076294309858,62.331552955737735
27.725493832283817,62.325491099581726
27.71925027375589,62.32844451988406
27.726785986725726,62.3303708316189
27.710340930758903,62.321945462225656
27.72071708273939,62.33154632429749
29.167431109960965,62.30521258303426
29.17545802183358,62.30695445594399
29.16542284027636,62.30750967397618
29.169881549969645,62.30459173089385
29.175809861525195,62.31224490193167
29.16309065371482,62.305586917141575
30.608783152707115,62.277622061383106
30.610429941433882,62.271830679072856
30.60703372772842,62.279010930177286
30.612259666289013,62.27218916037199
30.60910516138455,62.277111292758654
30.601227837509132,62.2726232061684
21.426892838462813,62.427179561144094
21.4356108131083,62.431960247597225
21.429738168718156,62.43110983116446
21.434705578549895,62.43488095553038
31.10180604677511,62.49553452272913
31.10374110967419,62.49547758503321
31.100581745791988,62.484858185497984
31.096758574314155,62.48669378468959
31.101487985064164,62.487010464798274
31.10392908535864,62.49081395326836
29.186793248664003,62.75500971733368
29.18301727260728,62.755149971631575
29.18099629794111,62.750544564800194
29.189220112301747,62.76008303423796
29.18778774625299,62.7515272009632
29.590159295445265,62.76085977562384
29.586518437950563,62.765665838428355
29.578272563568518,62.76817597162036
29.58669221742193,62.76562103325391
29.58318692294529,62.766475150099794
29.584566287818163,62.75935660307112
31.24621214311516,62.75889890038437
31.255145419866572,62.75160844538736
31.253568307811914,62.74655514963111
31.25614312227451,62.75126275825106
31.245479913208083,62.75353133729049
23.797557741895336,62.96407225264249
23.784232619836096,62.95228091172694
23.79275036066787,62.95710404574877
23.792625104028204,62.95604840540463
23.79383021193686,62.95799773190877
23.7944723636551,62.96044243444351
29.21840440361977,62.9745398275737
29.215133924264094,62.96751729665361
29.222734322142657,62.97789212589867
29.21276776276178,62.968786321216875
29.212821552677052,62.97018333486821
23.26946919591321,63.17964026432415
23.274948128980117,63.17403908269932
23.272923374945464,63.17298790725716
23.272503996082918,63.174576337038765
30.21413234366037,63.181177493685375
30.215924887303892,63.18460875523082
30.224909403310814,63.18343115048939
30.227366286875736,63.179799602760184
30.231248309509912,63.18254672392611
30.222687474715155,63.183774032681804
25.240517715653894,63.430246442824114
25.253507540270018,63.43542159713222
25.24280181380657,63.43562203392465
25.24099483754659,63.442088192442576
25.24630748187754,63.430898494574
25.24338223545854,63.4364897475293
25.735702788703215,63.42806269923951
25.744128473461586,63.43199476691413
25.744979731668952,63.429135405807784
25.734978862227617,63.422349217521656
25.75428275780912,63.43658613871968
22.711120613555774,63.61194321783863
22.709520402111924,63.61654867697781
22.709922878835275,63.61410568920061
22.7132246285299,63.60782231318078
24.229834288275622,63.63665797755241
24.212766741670592,63.637695759583856
24.22081416000567,63.634356425293326
24.232087150975225,63.63490434710738
24.22130297494791,63.64471524690029
24.220927163808494,63.64705766699848
26.734062904534376,63.67124360350429
26.7442202256418,63.65894429974031
26.74562038452261,63.67458685180411
26.735321272614417,63.66671293381992
26.75380994738764,63.6670676862411
26.742575285212236,63.66795690020702
28.2483975584412,63.65895944475897
28.238420439661095,63.664414563955255
28.228200168537473,63.657052706453705
28.238199888907527,63.66199652663616
28.241580846787663,63.65992010758987
23.686747965160848,63.84555390172613
23.68953324664009,63.86356381254305
23.689795939801886,63.85552542494805
23.699685113561003,63.86379598198868
23.68938365324815,63.852206819097376
23.69922115212816,63.85646686233476
24.188465713304574,63.87119185287837
24.20626243487964,63.86776902082315
24.20778328164451,63.86791853172877
24.209968835878982,63.859731710030466
24.200354709806543,63.86109679604343
24.19081281438758,63.86881115741629
25.726008281138267,63.87789033904874
25.716839913215466,63.88697711492635
25.724079007860126,63.89156905430445
25.72696074205601,63.889761799019524
25.722767461595165,63.885412181682646
26.240475007494382,63.90304774986788
26.243147019377307,63.89979763176646
26.228424440320566,63.89070161874012
26.2327528403501,63.89649136265583
26.234495612510095,63.89342214920349
26.75136743453836,63.89051688139713
26.748918225338866,63.883288088939345
26.75160983636819,63.90100749850166
26.741639877076796,63.88954371161402
26.74116463805661,63.89413157196914
23.66392435793524,64.0799047345855
23.668950009881403,64.07869347564933
23.66788317335486,64.06960585715608
23.666328742501733,64.08748646174925
25.19072044485609,64.11064079375008
25.195194827969893,64.1065341717028
25.211592940550993,64.10650778762509
25.196660524654465,64.09686845177424
25.206664455900317,64.10852293463672
26.229556002955178,64.1184110420431
26.236754025364206,64.10999991802777
26.2225018445392,64.12278236212697
26.224855823337677,64.11093711955574
25.186603435102636,64.32702501909448
25.18733643953256,64.32671795056784
25.187238635849525,64.32986883956282
